City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
615,Sao Francisco,BR,85.59,broken clouds,-15.9486,-44.8644,Pousada Peixe Vivo
623,Cassilandia,BR,82.72,clear sky,-19.1133,-51.7342,Delirius Motel
624,Omboue,GA,78.08,scattered clouds,-1.5746,9.2618,Hotel Olako
625,Umm Kaddadah,SD,85.69,overcast clouds,13.6017,26.6876,
630,Correntina,BR,82.72,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
641,Alyangula,AU,75.07,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
642,Gewane,ET,88.88,scattered clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
650,Pueblo,US,79.79,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
652,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
655,Kutum,SD,81.43,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
661,Limoeiro Do Ajuru,BR,78.96,overcast clouds,-1.8953,-49.3806,Hotel Dalva
662,Bonthe,SL,78.78,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
664,Wanning,CN,77.14,overcast clouds,18.8003,110.3967,Paradise Hotel
667,Kimbe,PG,76.3,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
669,Yaan,NG,85.51,overcast clouds,7.3833,8.5667,
670,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
671,Les Cayes,HT,83.25,clear sky,18.2,-73.75,Villa Orphee
675,Sola,VU,80.1,broken clouds,-13.8833,167.55,Leumerus Bungalows
