City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Kabalo,CD,-6.05,26.9167,74.3,80,96,4.21,light rain
315,Puerto Cabezas,NI,14.0351,-83.3888,87.76,74,40,6.91,scattered clouds
316,Kloulklubed,PW,7.0419,134.2556,75.7,83,100,21.12,very heavy rain
317,Hasaki,JP,35.7333,140.8333,59.4,54,100,10.85,overcast clouds
318,Slupsk,PL,54.4641,17.0287,42.03,72,10,8.01,clear sky
319,Moron,AR,-34.6534,-58.6198,74.97,51,100,3.83,overcast clouds
320,Ontario,US,34.0633,-117.6509,71.4,69,100,16.11,overcast clouds
321,Mitake,JP,35.4167,137.1333,58.39,73,94,4.07,overcast clouds
322,Egvekinot,RU,66.3167,-179.1667,26.51,94,100,1.86,light snow
323,Korla,CN,41.7597,86.1469,67.62,44,0,9.62,clear sky
324,Gushikawa,JP,26.3544,127.8686,75.2,96,75,6.91,broken clouds
325,Bukavu,CD,-2.5083,28.8608,61.18,97,94,0.85,overcast clouds
326,San Policarpo,PH,12.1791,125.5072,80.55,78,26,7.67,scattered clouds
327,Itarema,BR,-2.9248,-39.9167,78.46,89,100,10.94,light rain
328,Krasnoarmeysk,RU,51.0239,45.6969,47.37,53,100,3.24,overcast clouds
329,Motema,SL,8.6,-11.0333,71.98,97,100,2.46,light rain
330,Moussoro,TD,13.6408,16.4901,96.21,13,91,4.09,overcast clouds
331,Padang,ID,-0.9492,100.3543,78.42,82,99,3.65,overcast clouds
332,Talnakh,RU,69.4865,88.3972,9.21,95,71,7.11,broken clouds
333,Illela,NG,13.7292,5.2975,97.2,21,93,7.29,overcast clouds
334,Okha,RU,53.5739,142.9478,31.44,98,100,15.05,snow
335,Clarence Town,AU,-32.5833,151.7833,51.85,81,0,2.66,clear sky
336,Udachnyy,RU,66.4167,112.4,5.65,97,97,8.03,overcast clouds
337,Cairns,AU,-16.9167,145.7667,76.06,96,100,9.22,light intensity shower rain
338,Dimapur,IN,25.9,93.7333,74.21,82,2,1.1,clear sky
339,Scarborough,GB,54.2797,-0.4044,51.37,80,28,15.01,scattered clouds
340,Mocuba,MZ,-16.8392,36.9856,66.38,96,8,3.0,clear sky
341,Namwala,ZM,-15.7504,26.4384,65.7,63,0,5.06,clear sky
342,Baraboo,US,43.4711,-89.7443,59.81,52,100,5.01,moderate rain
343,Russell,US,32.3502,-85.1999,77.13,48,40,3.44,scattered clouds
344,Fukue,JP,32.6881,128.8419,63.52,71,53,18.19,broken clouds
345,Zhanakorgan,KZ,43.9098,67.2495,79.52,29,83,15.9,broken clouds
346,Auki,SB,-8.7676,160.7034,78.42,88,100,4.52,overcast clouds
347,Dali,CN,25.7,100.1833,58.41,89,4,5.26,clear sky
348,Pandan,PH,14.0453,124.1694,79.56,86,19,8.34,few clouds
349,Limbang,MY,4.75,115.0,77.11,98,100,2.01,overcast clouds
350,Nagorsk,RU,59.3172,50.8078,48.65,67,26,9.35,scattered clouds
351,Mafinga,TZ,-7.25,35.0667,68.76,66,100,4.23,overcast clouds
352,Harper,LR,4.375,-7.7169,79.48,84,100,6.62,overcast clouds
353,Chervonohryhorivka,UA,47.623,34.5389,55.92,49,31,4.68,scattered clouds
354,Abha,SA,18.2164,42.5053,67.82,77,0,4.61,clear sky
355,Isiro,CD,2.7739,27.616,67.98,98,78,3.36,light rain
356,Angoche,MZ,-16.2325,39.9086,73.71,81,0,4.34,clear sky
357,Saint George,US,37.1041,-113.5841,83.62,11,0,21.85,clear sky
358,Fuyang,CN,32.9,115.8167,59.72,55,89,12.75,overcast clouds
359,Vardo,NO,70.3705,31.1107,26.58,80,0,10.36,clear sky
360,Rawson,AR,-43.3002,-65.1023,65.41,30,70,20.31,broken clouds
361,Tomiya,JP,38.3931,140.8861,48.13,53,100,3.65,overcast clouds
362,Acarau,BR,-2.8856,-40.12,79.2,87,100,10.63,light rain
363,Balabac,PH,7.9868,117.0645,81.99,82,100,10.27,overcast clouds
364,Markala,ML,13.7021,-6.0659,99.03,20,61,9.48,broken clouds
365,Jasper,US,37.2001,-94.3502,80.65,56,20,14.97,few clouds
366,Lodwar,KE,3.1191,35.5973,89.51,38,9,17.27,clear sky
367,Maarianhamina,AX,60.0973,19.9348,35.46,69,0,2.3,clear sky
368,Lodja,CD,-3.4833,23.4333,72.59,89,98,0.51,overcast clouds
369,Naze,JP,28.3667,129.4833,68.92,95,100,7.83,overcast clouds
370,Lakota,CI,5.8528,-5.6883,74.05,97,100,4.92,overcast clouds
371,Anito,PH,12.4497,125.2886,78.33,83,22,6.08,few clouds
372,Mildura,AU,-34.2,142.15,50.07,81,100,3.44,overcast clouds
373,Saint-Leu,RE,-21.15,55.2833,72.46,76,0,3.87,clear sky
374,Varzea Grande,BR,-15.6467,-56.1325,89.47,35,0,8.05,clear sky
375,Leningradskiy,RU,69.3833,178.4167,22.53,94,100,5.37,overcast clouds
376,Abu Kamal,SY,34.4506,40.9171,71.64,28,0,5.59,clear sky
377,Shenavan,AM,40.0549,43.9288,54.18,62,75,11.5,broken clouds
378,Fort Nelson,CA,58.8053,-122.7002,33.39,86,100,16.11,light snow
379,Kamaishi,JP,39.2667,141.8833,47.5,83,100,6.15,overcast clouds
380,Safranbolu,TR,41.2508,32.6942,47.08,86,3,1.79,clear sky
381,Hovd,MN,48.0056,91.6419,34.61,47,10,11.63,clear sky
382,Balkanabat,TM,39.5108,54.3671,62.94,69,100,13.31,overcast clouds
383,Imeni Poliny Osipenko,RU,52.4201,136.4853,32.29,89,0,4.85,clear sky
384,Cookeville,US,36.1628,-85.5016,67.78,63,100,0.0,overcast clouds
385,Taybad,IR,34.74,60.7756,74.21,42,57,5.44,broken clouds
386,Grajewo,PL,53.6473,22.4554,44.89,84,98,7.34,overcast clouds
387,Fairbanks,US,64.8378,-147.7164,42.22,67,75,11.5,light rain
388,Dongsheng,CN,39.8161,109.9776,49.64,51,100,6.64,overcast clouds
389,Lekoni,GA,-1.5843,14.2591,79.72,67,37,4.03,scattered clouds
390,Teguldet,RU,57.3064,88.1667,27.32,60,0,2.84,clear sky
391,Borogontsy,RU,62.6683,131.1683,35.78,98,100,7.27,light rain
392,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,0,6.91,clear sky
393,Radhanpur,IN,23.8333,71.6,85.95,60,0,13.42,clear sky
394,Nancha,CN,47.1333,129.2667,39.13,76,0,3.27,clear sky
395,Amparafaravola,MG,-17.5833,48.2167,64.0,98,49,3.31,scattered clouds
396,Mogadishu,SO,2.0371,45.3438,82.2,85,36,18.81,light rain
397,Mokhotlong,LS,-29.2894,29.0675,41.2,87,50,4.23,scattered clouds
398,Panguna,PG,-6.3164,155.4848,69.13,97,62,2.62,light rain
399,Maunabo,PR,18.0072,-65.8993,89.29,74,90,8.25,overcast clouds
400,Slave Lake,CA,55.2834,-114.769,37.38,81,100,18.41,overcast clouds
401,Zig,US,40.127,-92.7663,70.09,56,100,18.41,overcast clouds
402,Shingu,JP,33.7333,135.9833,58.35,80,100,6.4,overcast clouds
403,Praia,CV,14.9215,-23.5087,75.74,64,20,19.57,few clouds
404,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,73,20,14.97,few clouds
405,Tomatlan,MX,19.9333,-105.25,87.67,49,7,11.27,clear sky
406,Sampit,ID,-2.5333,112.95,74.26,100,100,2.59,moderate rain
407,Beloha,MG,-25.1667,45.05,69.96,84,6,2.17,clear sky
408,Amsterdam,NL,52.374,4.8897,54.88,70,0,10.36,clear sky
409,Kormilovka,RU,55.0026,74.1028,49.8,53,67,2.71,broken clouds
410,Pangody,RU,65.85,74.4859,34.27,100,100,12.15,overcast clouds
411,Haines Junction,CA,60.7522,-137.5108,49.95,46,16,8.05,few clouds
412,Erzin,TR,36.9559,36.2,59.41,68,8,1.14,clear sky
413,Ahipara,NZ,-35.1667,173.1667,60.53,86,95,6.64,overcast clouds
414,Tual,ID,-5.6667,132.75,83.41,80,100,10.67,heavy intensity rain
415,Isangel,VU,-19.55,169.2667,74.17,72,28,12.46,scattered clouds
416,Abrau-Dyurso,RU,44.69,37.59,47.66,75,91,5.93,overcast clouds
417,Kambove,CD,-10.8764,26.5969,61.52,79,6,3.24,clear sky
418,Faya,SA,18.3851,42.4509,68.11,56,0,1.86,clear sky
419,Huron,US,41.1501,-82.5499,66.18,53,27,10.67,scattered clouds
